label,sentence
0,"Pensaba disfrutar mucho al aire libre, pero con lluvia se me quitaron las ganas."
0,"Qué lástima que va a llover tantos días, no sé qué hacer."
0,Este clima lluvioso está arruinando mis planes de vacaciones.
0,"Esperaba tomar sol, pero parece que solo veré nubes."
0,Estas vacaciones no están saliendo como esperaba con este clima.
0,Me siento un poco desanimado por las lluvias en mis vacaciones.
0,No puedo creer que justo me toca lluvia en mis días libres.
0,Con esta lluvia no me siento con ganas de hacer nada.
0,"Quería descansar en la playa, pero este clima no ayuda."
0,"Este clima me tiene bastante apagado, no sé qué hacer."
0,"Todo lo que había planeado era para hacer al aire libre, ahora me siento perdido."
0,Tanta lluvia me está deprimiendo un poco en mis vacaciones.
0,Este clima me hace sentir un poco triste.
0,"Esperaba sol, pero solo veo días grises y lluviosos."
0,Con tanta lluvia me siento un poco melancólico.
0,"No me esperaba tanto mal clima, esto me deprime."
0,Este clima me da ganas de solo dormir todo el día.
0,Con esta lluvia se me fueron las ganas de hacer planes.
0,"Estoy un poco decepcionado, no podré disfrutar la playa como quería."
0,La lluvia me está arruinando el ánimo en estas vacaciones.
0,"Pensaba que serían unas vacaciones perfectas, pero me siento algo desilusionado."
0,"Esperaba relajarme con el sol y el mar, pero esta lluvia me desanima."
0,Este clima no ayuda a que me sienta motivado.
0,La lluvia en vacaciones me hace sentir más cansado que feliz.
0,Tantos días grises en el lugar donde soñaba descansar me pone triste.
0,"Quería días alegres en la playa, pero la lluvia me desmotiva."
0,Este clima nublado hace que mis vacaciones se sientan menos emocionantes.
0,"Tenía ganas de hacer algo divertido, pero el clima me quita el ánimo."
0,"No es la idea de vacaciones que tenía, la lluvia me hace sentir sin planes."
0,"La lluvia me hace sentir un poco apagado, como si faltara algo."
0,"No tengo muchas ganas de ver una película hoy, el clima me bajonea."
0,"Quisiera disfrutar al aire libre, pero aquí estoy pensando si ver una película solo."
0,"Leer un libro no me anima mucho, me siento algo desmotivado."
0,"Me da igual qué hacer, no me siento animado ni para juegos ni películas."
0,"Este día gris no me motiva para jugar ni leer, me siento un poco apagado."
0,"Aunque intente ver una película, siento que no la disfrutaría hoy."
0,"No tengo ánimos de nada, ni de leer ni de jugar con este clima."
0,"No tengo ganas de hacer nada especial, solo me gustaría que deje de llover."
0,Siento que incluso ver una película no ayudaría a levantarme el ánimo.
0,"La lluvia me quita las ganas de hacer cualquier cosa, solo quiero descansar."
0,No tengo motivación para juegos de mesa ni películas con este clima.
0,"Pensé que una película me animaría, pero hoy nada parece entusiasmarme."
0,"No creo que leer un libro ayude, me siento demasiado apagado."
0,Este clima gris me apaga las ganas de ver películas o jugar algo.
0,"Con esta lluvia, siento que ni un buen libro puede animarme hoy."
0,No me siento de humor para una película ni para juegos de mesa.
0,"Hoy no tengo ganas ni de leer ni de ver una película, la lluvia me desanima."
0,Los juegos de mesa se sienten aburridos en días como este.
0,No tengo energía para ver una película ni para leer un libro.
0,A veces ni siquiera un buen juego de mesa logra sacarme este ánimo.
0,Hoy no me siento para nada motivado para hacer algo.
0,Este clima arruinó mi humor para cualquier actividad divertida.
0,La lluvia me hace sentir que nada será lo suficientemente divertido.
0,"No quiero hacer nada que requiera energía, como ver una película."
0,No creo que un libro o una película levanten este ánimo.
0,"Me cuesta entusiasmarme, ni una película me llama la atención hoy."
0,"Siento que no disfrutaría ninguna actividad, solo quiero que pare de llover."
0,El mal clima me quita las ganas de hacer algo como ver una película.
0,No me siento con ánimos para disfrutar ni siquiera un libro.
0,"Hoy no tengo ganas de nada, ni películas ni libros."
0,A veces siento que estoy atrapado en una rutina que no me llena.
0,Me cuesta encontrarle sentido a mis días últimamente.
0,Siento que estoy perdiendo la motivación poco a poco.
0,Estoy agotado de seguir adelante sin ver resultados.
0,A veces siento que el esfuerzo no vale la pena.
0,Es difícil mantenerse positivo cuando todo parece igual.
0,Me invade una sensación de vacío que no logro explicar.
0,Siento que no tengo el control sobre mi propia vida.
0,Las cosas no están saliendo como las había planeado.
0,Me siento desconectado de las personas que me rodean.
0,Es frustrante sentir que no avanzo.
0,"Siento que necesito un cambio, pero no sé por dónde empezar."
0,Me cuesta levantarme cada mañana para hacer lo mismo.
0,Estoy cansado de que mis esfuerzos no sean valorados.
0,Me siento atrapado en algo que ya no me hace feliz.
0,Es difícil sentirme animado cuando el trabajo me desgasta.
0,A veces no encuentro la energía para seguir.
0,"Me siento solo, incluso rodeado de personas."
0,"Cada día parece igual al anterior, sin nada que esperar."
0,La vida parece pesar más de lo que puedo cargar.
0,Siento que cada día me exige más de lo que puedo dar.
0,No logro encontrar la paz en mi rutina.
0,"Me siento invisible, como si nada de lo que hago importara."
0,A veces solo quiero desaparecer por un momento.
0,Las cosas que antes me daban alegría ya no lo hacen.
0,Siento que me estoy perdiendo en el camino.
0,No encuentro un propósito claro que me motive.
0,Cada día me siento menos conectado con mis metas.
0,"Es como si estuviera caminando en círculos, sin rumbo."
0,Me invade una tristeza que no logro identificar.
1,"Parece que habrá algunos días de lluvia, podré relajarme."
1,"No puedo hacer todo lo que planeaba, pero siempre hay opciones para disfrutar."
1,"Aunque llueva, intentaré aprovechar los días de descanso."
1,"El clima no es el mejor, pero puedo hacer otras cosas para pasar el rato."
1,"Aunque llueva, igual puedo descansar de la rutina."
1,"No puedo ir a la playa, pero tengo algunas opciones en mente para estos días."
1,"Con lluvia o sin ella, voy a aprovechar estos días libres."
1,"A pesar de la lluvia, estoy contento de tener tiempo para mí."
1,"Aunque no haga sol, puedo hacer algo diferente y descansar."
1,"Con lluvia puedo disfrutar de otras formas, sin problemas."
1,"No será lo que planeaba, pero encontraré una forma de disfrutar."
1,"El clima está cambiante, pero trataré de hacer algo entretenido."
1,No siempre hace falta sol para pasar un buen rato.
1,"No es lo ideal, pero tengo opciones para disfrutar de todas formas."
1,"La lluvia cambiará algunos planes, pero buscaré alternativas."
1,Puedo aprovechar el mal clima para hacer otras cosas que disfruto.
1,"El clima no es lo mejor, pero igual tengo opciones para pasarla bien."
1,Puedo hacer cosas diferentes que también pueden ser entretenidas.
1,"Con días de lluvia, hay alternativas para descansar de otras formas."
1,No siempre se necesita buen clima para disfrutar de unos días libres.
1,"Tendré que hacer algunos cambios, pero igual puedo disfrutar."
1,"El clima cambia los planes, pero no las ganas de relajarme."
1,"Puede que haga algo diferente a lo planeado, pero igual será bueno."
1,"Con lluvia, puedo buscar algo para entretenerme sin problema."
1,"No será lo que imaginaba, pero puedo relajarme de todos modos."
1,"No todo será como esperaba, pero encontraré algo que me guste hacer."
1,"Buscaré cómo entretenerme, aunque no pueda salir al aire libre."
1,"El clima puede cambiar, pero no me preocupa."
1,"No importa si llueve, siempre hay alternativas para disfrutar."
1,"La lluvia no es ideal, pero puedo entretenerme con otras actividades."
1,"Tal vez vea una película hoy para pasar el rato, aunque no tengo muchas expectativas."
1,"Podría leer un poco, parece una buena forma de aprovechar la lluvia."
1,"Pensaba en jugar algo de mesa, aunque no me importa mucho qué hacer."
1,"Ver una película es una opción para este día, aunque no me entusiasma tanto."
1,"El clima no es el mejor, pero podría jugar un juego de mesa o leer algo."
1,"Quizá una película sea una buena idea, aunque tampoco me importaría leer un libro."
1,"Hoy me da igual ver una película o leer, ambos pueden ser entretenidos."
1,"Podría intentar un juego de mesa, aunque no tengo ninguna preferencia en mente."
1,"No estoy muy emocionado, pero veré si encuentro un buen libro."
1,"Puedo ver una película o jugar, no tengo preferencias."
1,"Quizá una película no esté mal para hoy, aunque cualquier cosa me va."
1,"Estoy abierto a ver una película o jugar, no tengo nada en especial en mente."
1,"Leer podría ser interesante, pero no tengo mucha expectativa."
1,"Podría jugar algo para pasar el rato, aunque no espero gran cosa."
1,"Una película o un libro puede estar bien, aunque no me entusiasma mucho hoy."
1,"Leer un libro puede ser entretenido, aunque tampoco me importa mucho."
1,"No tengo mucho entusiasmo, pero un juego de mesa suena bien."
1,"Podría ver algo tranquilo en la tele o leer, el clima es ideal para eso."
1,Hoy podría ser un buen día para un juego de mesa o una película.
1,Leer un libro me parece una opción cómoda para el día de hoy.
1,"Podría ver una película, aunque no tengo muchas expectativas."
1,"Tal vez lea un libro, aunque no tengo ninguna preferencia fuerte."
1,"Voy a ver qué película hay, aunque tampoco tengo ganas de algo específico."
1,"Un juego de mesa puede ser divertido, aunque me da un poco igual."
1,"El clima es bueno para leer o ver una película, pero no tengo preferencia."
1,"Podría leer un poco, aunque no me emociona mucho hoy."
1,"Ver una película puede estar bien, aunque tampoco me motiva mucho."
1,"Cualquiera de las opciones suena bien, hoy no tengo algo en mente."
1,"Jugar, leer o ver una película, hoy cualquiera suena bien."
1,"Hoy me da igual, puedo hacer cualquier actividad."
1,"Es un día más, con la rutina de siempre."
1,"Estoy tranquilo, aunque nada sobresaliente ha ocurrido."
1,Otro día que pasa sin demasiadas sorpresas.
1,"La vida sigue su curso, sin grandes cambios."
1,Hoy es uno de esos días en los que todo está en su lugar.
1,"Nada nuevo, solo el mismo ritmo de siempre."
1,A veces la rutina tiene su propia calma.
1,Siento que estoy en un momento estable de mi vida.
1,"No hay altibajos hoy, solo paz y tranquilidad."
1,La rutina puede ser reconfortante en su propia manera.
